operationdistrict,capitaldistrict,euidistrict,operationdoasvrf,capitaldoasvrf,euidoasvrf,operationvav,capitalvav,euivav
865081.495,3203322.753,153.7757416,820509.8736,2821151.274,82.71102718,829185.7895,2645403.128,279.9004464
817408.3347,2921836.732,151.6745052,949986.8413,3084163.409,91.73680606,858355.8191,2033304.974,277.8081464
1051246.687,2262074.982,206.2986409,951088.7936,3029733.887,64.48368072,850316.2758,2610208.947,250.3603807
906539.7853,2233122.338,181.8602161,853302.3186,2738353.405,87.43650355,777653.2868,2816167.454,244.4677794
1004326.26,2335123.591,174.1361594,1003201.695,2638186.535,96.92384037,773473.0858,2550581.754,266.4202292
966432.6899,2502588.799,189.3180099,802064.4384,3316306.682,63.94097861,719111.0537,2667879.948,260.1002438
1022054.044,2871409.029,186.7771144,1054439.575,2555536.106,91.46645222,743155.8778,2726704.026,261.417282
913821.5252,2412040.487,186.628435,966432.6899,2970190.119,63.41270982,870134.9955,2461506.733,268.2132826
910719.9862,2520735.314,148.5545925,1003179.082,2330937.353,90.47246324,847214.7368,2568217.765,251.515235
951111.4067,2762669.986,153.4471773,924358.9185,2718106.784,88.78460149,934648.4487,2619796.243,302.4513445
903415.6333,2092466.202,191.5014948,1158197.27,2523796.939,117.3980512,816920.1418,2806222.354,261.8376252
1141850.674,1943110.108,228.3225064,995897.3421,2686154.26,85.08436557,868158.022,2763122.375,284.3598481
1108083.956,2321865.88,222.1441088,895398.7031,2972439.782,85.46050477,870112.3825,2264021.511,264.2787753
888094.3501,2382388.276,188.5542719,998704.2584,2394434.625,73.70832305,777925.2963,2856687.818,251.9627557
823007.7236,2794119.604,160.8456235,995897.3421,2308765.482,91.22473906,901833.3907,2907635.84,279.5067027
897353.0635,2520127.198,156.8974344,953088.3802,2923113.907,84.83974864,738681.0543,2645912.557,277.2168086
930168.1216,2455317.833,168.8605078,983382.9753,2562558.642,87.26525069,836467.5294,2696218.721,261.2870695
1037971.114,2260685.797,167.5005596,1054416.962,2089761.347,98.1728203,766784.214,3213953.903,240.1522925
987857.7988,2250421.671,176.6516245,1091737.359,2746312.242,115.8751185,906028.9794,2337570.889,272.3124673
895376.09,2447246.613,160.6244313,949986.8413,2953156.456,84.29386126,921372.8757,2253749.959,277.0686656
1033496.29,1790602.736,176.4407231,1054416.962,2267885.057,87.51550077,852814.1257,2952757.169,244.8088834
853302.3186,2498561.399,161.0253769,888094.3501,2784895.629,101.0251588,777925.2963,2936740.456,252.3349853
912696.9598,2508461.226,163.797971,874245.6037,3200523.225,59.85504194,904904.414,2193784.737,272.1720982
860606.6715,2662013.349,176.2442045,895398.7031,3279553.825,66.79880317,921372.8757,2530365.683,248.3963841
1012365.804,1984990.977,195.6991215,985880.8252,2977927.593,87.87895153,990338.5393,2429106.501,289.6644099
945489.4048,2330603.071,153.2095849,963934.8399,2362722.752,105.0305022,955569.1208,2706546.398,307.6954852
1033496.29,1773223.259,178.4797955,1047135.222,2190577.521,104.2950695,1078345.425,2074330.003,302.558958
899873.5266,2860674.376,175.3073057,878930.2414,3405641.349,70.8057453,795976.8567,2644339.758,261.2392515
1037971.114,1985950.295,185.7958513,899873.5266,3218380.452,78.90589267,797101.4221,2715677.869,253.8941608
1012343.191,1722543.074,198.1200443,1033496.29,2232829.992,90.47704251,735579.5153,2924581.619,244.3950851
906517.1723,2135713.681,165.6838485,953065.7672,2915698.128,75.66150279,854217.9259,3059637.273,284.5479121
951088.7936,2354431.976,177.797771,956630.487,2115682.109,91.92510065,987840.6893,2015592.149,316.9223901
767295.0199,2804271.532,157.9847532,1088635.82,2849336.381,111.0467725,727539.972,2958701.787,247.4945995
930168.1216,2442560.196,179.7913109,905392.6069,2326654.388,86.5020288,905455.806,3144338.798,275.2149316
1004303.647,1949401.471,181.2147572,1001133.372,3308766.39,98.82787672,826084.2506,2722221.495,263.2106437
910719.9862,2485782.336,170.8394248,977573.7722,2575528.03,69.00068973,852814.1257,2908129.255,244.3793686
874245.6037,2678541.714,159.2312548,945489.4048,2757282.343,69.04985146,761184.8251,3051879.951,246.6584878
1106959.39,2231467.058,212.099376,998704.2584,2142096.063,96.55343541,762309.3905,2650617.224,273.9739292
862583.645,2900828.659,158.8877998,1001224.721,2695353.592,97.78954908,955569.1208,2624169.86,311.9803062
1067715.148,2381170.399,200.7233962,862583.645,3180979.36,65.89989153,779630.2603,2508846.747,257.4570288
983382.9753,2103880.523,190.9406413,1067715.148,2706415.461,121.9489094,851720.0759,3089730.679,274.6472968
1067692.535,2043784.103,207.2418945,1004303.647,2644106.275,76.73906784,844507.0727,2373613.151,284.5648551
1108083.956,2402671.138,226.2725968,1033496.29,2351551.531,74.87368441,969417.8672,2388834.985,315.8429443
969534.2288,2282545.685,169.3156482,983382.9753,2453896.661,108.8638037,782128.1103,2887572.314,255.6045048
1003179.082,1871330.62,178.4752163,951088.7936,2985105.974,64.05416594,770348.9338,2671776.215,246.6387754
1035994.14,2039288.215,183.8060941,948590.9437,2607133.027,69.66294832,738681.0543,2761208.218,242.1550784
984786.7754,2769194.745,190.9880761,931571.9217,3531473.299,99.7012838,836467.5294,2895745.517,249.8121993
1069669.509,1871452.668,209.4171591,892569.1736,3391202.094,76.31094746,777653.2868,2634983.127,273.6858963
1054416.962,1756681.344,192.5334853,985880.8252,2967147.416,72.34516521,879276.4912,2036290.44,273.2493337
1037397.94,2562406.917,200.1902542,956630.487,2115682.109,91.92510065,812422.7053,2363549.082,268.2139882
1038522.506,2746074.125,186.5264306,1123427.852,2774278.444,119.8114117,844507.0727,2375937.05,279.9078044
903415.6333,2153284.765,166.0411159,865081.495,3150885.953,75.80050681,783252.6757,2971468.74,247.0916578
1004303.647,2066706.617,196.0178166,951111.4067,3237332.298,68.06240249,886580.8441,2407751.421,278.9782961
888094.3501,2447385.336,186.3085234,878930.2414,2910764.294,84.64414276,900429.5905,2210909.451,254.9489671
984756.2598,2240744.319,174.5403046,961105.3105,2698539.036,73.90842425,818044.7072,3072266.099,243.8889806
959150.95,2341050.128,182.5107186,1070816.687,2883256.929,105.6469666,823586.4006,2313354.941,281.1545226
1001202.108,2055641.115,179.8187223,910719.9862,2783778.962,89.59635075,904331.2406,3177955.092,281.9939224
1001202.108,2249914.679,159.5409433,1022076.657,3169383.289,114.8995316,1043553.393,2008516.739,318.8824681
1108083.956,2319541.981,226.8011595,878930.2414,3315719.752,65.92585594,773450.4728,2571075.975,246.8100708
1035994.14,2121447.245,197.912675,966432.6899,2848426.44,84.02654188,738681.0543,2648236.456,272.5597579
817408.3347,2921836.732,151.6745052,910719.9862,2894923.369,69.84713448,812445.3183,2725430.885,277.6371518
953065.7672,2320831.81,177.2010866,998726.8715,2479666.326,107.6940866,727539.972,2917586.6,266.2588553
924358.9185,2333731.527,178.0309004,905415.2199,2946035.074,80.88059739,793269.1925,2929722.282,249.9214206
895376.09,2584852.868,150.4945174,852177.7532,2752175.267,84.25485934,868135.4089,2505322.269,277.4666695
1003201.695,2565190.163,170.3410725,945489.4048,2545423.702,76.34100903,865637.559,2307815.407,254.2107582
977573.7722,2057725.015,191.591533,1001202.108,2532947.875,83.85893002,871236.9479,2475289.776,242.1467199
1047135.222,1729861.675,202.5998625,969534.2288,2617042.2,98.74714565,900429.5905,2205370.048,256.1737066
1033496.29,1687345.045,189.3599537,868646.2148,2809063.97,90.05221915,854791.0993,2850561.484,255.1723725
