operationall,capitalall,euiall,operationpareto,capitalpareto,euipareto
860606.6715,2577530.42,166.7946743,,,
1047135.222,2214745.566,110.7859284,,,
818532.9001,2668237.646,159.3102494,,,
929043.5562,2705840.401,162.125556,,,
808242.5043,2318232.346,265.7240547,,,
1003201.695,2673437.895,88.42377014,,,
921372.8757,2334088.769,267.4132469,,,
740054.3388,3212517.361,244.8907193,,,
852200.3662,2547118.756,171.6087982,,,
892569.1736,2910966,158.8107802,,,
899873.5266,3266258.248,86.87740019,,,
1036024.656,2798209.588,96.13786806,,,
998704.2584,2290210.068,69.96671375,,,
951111.4067,2662429.904,191.1268857,,,
835342.964,2567028.611,265.3495418,,,
1033496.29,2095391.802,100.6061011,,,
724710.4426,3299588.174,247.6765137,,,
817408.3347,3387017.247,66.55669421,,,
1089208.994,1677193.117,192.220824,,,
737556.4889,2477032.376,258.3865372,,,
1073314.537,3038463.649,120.6948331,,,
1070794.074,2023136.501,207.7854196,,,
865637.559,2208797.245,263.1179932,,,
737556.4889,2857497.673,251.3453713,,,
910719.9862,3030543.742,63.86629634,,,
956142.2942,2159940.719,290.3588552,,,
1033496.29,2017377.969,167.4344402,,,
945489.4048,2590396.836,86.70935041,,,
829185.7895,2645403.128,279.9004464,,,
983382.9753,2056928.71,195.1681773,,,
1086137.97,2413977.883,127.1568431,,,
1036024.656,2275941.905,205.5417293,,,
930168.1216,2714847.594,92.68519284,,,
1033496.29,2201940.258,99.69065973,,,
913821.5252,2277355.863,173.8644481,,,
858355.8191,2033304.974,277.8081464,,,
962229.8759,2164983.272,156.3253894,,,
998726.8715,2444554.587,111.1072896,,,
850316.2758,2610208.947,250.3603807,,,
777653.2868,2816167.454,244.4677794,,,
865081.495,3203322.753,153.7757416,,,
773473.0858,2550581.754,266.4202292,,,
980281.4363,2782733.04,75.24685548,,,
719111.0537,2667879.948,260.1002438,,,
1102484.567,2653423.025,102.6900811,,,
817408.3347,2921836.732,151.6745052,,,
1051246.687,2262074.982,206.2986409,,,
906539.7853,2233122.338,181.8602161,,,
980281.4363,2675431.965,72.40603858,,,
820509.8736,2821151.274,82.71102718,,,
743155.8778,2726704.026,261.417282,,,
1004326.26,2335123.591,174.1361594,,,
949986.8413,3084163.409,91.73680606,,,
870134.9955,2461506.733,268.2132826,,,
966432.6899,2502588.799,189.3180099,,,
847214.7368,2568217.765,251.515235,,,
1022054.044,2871409.029,186.7771144,,,
934648.4487,2619796.243,302.4513445,,,
913821.5252,2412040.487,186.628435,,,
951088.7936,3029733.887,64.48368072,,,
816920.1418,2806222.354,261.8376252,,,
910719.9862,2520735.314,148.5545925,,,
951111.4067,2762669.986,153.4471773,,,
903415.6333,2092466.202,191.5014948,,,
868158.022,2763122.375,284.3598481,,,
853302.3186,2738353.405,87.43650355,,,
870112.3825,2264021.511,264.2787753,,,
1003201.695,2638186.535,96.92384037,,,
777925.2963,2856687.818,251.9627557,,,
1141850.674,1943110.108,228.3225064,,,
1108083.956,2321865.88,222.1441088,,,
901833.3907,2907635.84,279.5067027,,,
888094.3501,2382388.276,188.5542719,,,
823007.7236,2794119.604,160.8456235,,,
738681.0543,2645912.557,277.2168086,,,
836467.5294,2696218.721,261.2870695,,,
802064.4384,3316306.682,63.94097861,,,
1054439.575,2555536.106,91.46645222,,,
897353.0635,2520127.198,156.8974344,,,
966432.6899,2970190.119,63.41270982,,,
1003179.082,2330937.353,90.47246324,,,
930168.1216,2455317.833,168.8605078,,,
1037971.114,2260685.797,167.5005596,,,
924358.9185,2718106.784,88.78460149,,,
1158197.27,2523796.939,117.3980512,,,
987857.7988,2250421.671,176.6516245,,,
766784.214,3213953.903,240.1522925,,,
906028.9794,2337570.889,272.3124673,,,
895376.09,2447246.613,160.6244313,,,
995897.3421,2686154.26,85.08436557,,,
921372.8757,2253749.959,277.0686656,,,
895398.7031,2972439.782,85.46050477,,,
852814.1257,2952757.169,244.8088834,,,
1033496.29,1790602.736,176.4407231,,,
777925.2963,2936740.456,252.3349853,,,
853302.3186,2498561.399,161.0253769,,,
998704.2584,2394434.625,73.70832305,,,
904904.414,2193784.737,272.1720982,,,
995897.3421,2308765.482,91.22473906,,,
912696.9598,2508461.226,163.797971,,,
953088.3802,2923113.907,84.83974864,,,
860606.6715,2662013.349,176.2442045,,,
983382.9753,2562558.642,87.26525069,,,
1012365.804,1984990.977,195.6991215,,,
1054416.962,2089761.347,98.1728203,,,
1091737.359,2746312.242,115.8751185,,,
945489.4048,2330603.071,153.2095849,,,
949986.8413,2953156.456,84.29386126,,,
1033496.29,1773223.259,178.4797955,,,
899873.5266,2860674.376,175.3073057,,,
1054416.962,2267885.057,87.51550077,,,
921372.8757,2530365.683,248.3963841,,,
888094.3501,2784895.629,101.0251588,,,
990338.5393,2429106.501,289.6644099,,,
955569.1208,2706546.398,307.6954852,,,
874245.6037,3200523.225,59.85504194,,,
895398.7031,3279553.825,66.79880317,,,
1078345.425,2074330.003,302.558958,,,
795976.8567,2644339.758,261.2392515,,,
1037971.114,1985950.295,185.7958513,,,
1012343.191,1722543.074,198.1200443,,,
797101.4221,2715677.869,253.8941608,,,
735579.5153,2924581.619,244.3950851,,,
985880.8252,2977927.593,87.87895153,,,
963934.8399,2362722.752,105.0305022,,,
854217.9259,3059637.273,284.5479121,,,
987840.6893,2015592.149,316.9223901,,,
1047135.222,2190577.521,104.2950695,,,
906517.1723,2135713.681,165.6838485,,,
951088.7936,2354431.976,177.797771,,,
878930.2414,3405641.349,70.8057453,,,
899873.5266,3218380.452,78.90589267,,,
767295.0199,2804271.532,157.9847532,,,
1033496.29,2232829.992,90.47704251,,,
727539.972,2958701.787,247.4945995,,,
953065.7672,2915698.128,75.66150279,,,
930168.1216,2442560.196,179.7913109,,,
1004303.647,1949401.471,181.2147572,,,
905455.806,3144338.798,275.2149316,,,
910719.9862,2485782.336,170.8394248,,,
956630.487,2115682.109,91.92510065,,,
1088635.82,2849336.381,111.0467725,,,
874245.6037,2678541.714,159.2312548,,,
826084.2506,2722221.495,263.2106437,,,
905392.6069,2326654.388,86.5020288,,,
1001133.372,3308766.39,98.82787672,,,
852814.1257,2908129.255,244.3793686,,,
761184.8251,3051879.951,246.6584878,,,
1106959.39,2231467.058,212.099376,,,
977573.7722,2575528.03,69.00068973,,,
945489.4048,2757282.343,69.04985146,,,
998704.2584,2142096.063,96.55343541,,,
762309.3905,2650617.224,273.9739292,,,
1001224.721,2695353.592,97.78954908,,,
862583.645,2900828.659,158.8877998,,,
1067715.148,2381170.399,200.7233962,,,
862583.645,3180979.36,65.89989153,,,
