operationnoshade,capitalnoshade,euinoshade,operationshade,capitalshade,euishade
1126506.778,2335439.288,122.7449471,934625.8356,2378439.866,312.2639186
795976.8567,2963737.551,247.4831561,942682.4884,3129054.616,80.79812366
998704.2584,2102237.175,90.65489931,942682.4884,2726547.262,168.3272367
830868.1405,2272135.41,278.3443679,945512.0178,2702429.002,95.82947116
1001224.721,2497445.99,158.8351459,926335.892,2928564.545,79.26164951
809615.7889,2967030.558,251.6142278,1176620.092,1690304.704,230.5661967
820509.8736,3206264.368,66.35575993,998726.8715,2162882.298,162.349933
799078.3956,2545963.417,256.7534963,909037.6353,2687714.912,191.5827541
1035994.14,2647147.94,73.54972304,853324.9316,2792706.506,156.6000184
969534.2288,2608426.278,100.8726776,773473.0858,2649052.661,258.4819964
1073291.924,2335003.275,214.7244258,956653.1001,2373482.215,98.81827925
719133.6668,3310040.529,246.8818969,1040499.479,2755966.299,194.7497388
963934.8399,2095512.818,164.586524,913821.5252,2217898.207,174.8854571
830868.1405,2405431.884,277.0205805,727539.972,2938677.861,260.1086894
948613.5567,2612668.583,89.21818397,998726.8715,2605109.554,76.38625243
1001202.108,2257777.981,153.6591531,930168.1216,2796254.005,103.0355154
912696.9598,2590837.763,159.51315,791292.219,2673787.708,277.4950814
793269.1925,2469956.966,260.3466151,833365.9904,2826471.521,244.3887849
912696.9598,2516324.528,157.9161808,1033496.29,2482558.484,82.3166292
770371.5469,2752076.8,253.6536503,951088.7936,2760015.848,89.36786553
945489.4048,2259935.323,188.7008299,945512.0178,2347761.193,190.3418895
727539.972,2988126.937,259.666888,814399.6788,2683631.817,256.8748025
870112.3825,2296091.11,265.8760462,870134.9955,2829379.336,258.2301914
985880.8252,2388995.139,187.8676557,1123405.239,2070531.899,223.8686526
998704.2584,2344232.93,70.39386622,883387.9555,2935301.616,281.3767423
998726.8715,2487673.123,93.60394992,858355.8191,2236194.46,255.4048355
870623.1884,2944116.891,70.84293613,945489.4048,2257611.425,193.3578806
1016454.655,3039300.312,98.83523474,809368.7913,3215813.362,77.12304727
819999.0677,2830650.19,247.750629,894274.1377,3304053.779,72.82639255
860606.6715,2577530.42,166.7946743,1054439.575,2215403.531,167.6221054
1047135.222,2214745.566,110.7859284,903415.6333,2150960.866,170.6981665
818532.9001,2668237.646,159.3102494,915194.8097,2594284.816,174.4138713
808242.5043,2318232.346,265.7240547,927460.4574,2835351.609,69.17056422
1003201.695,2673437.895,88.42377014,980281.4363,2475618.998,93.90855708
740054.3388,3212517.361,244.8907193,868135.4089,2356473.672,270.1740661
892569.1736,2910966,158.8107802,1003201.695,2638186.535,96.92384037
1036024.656,2798209.588,96.13786806,913821.5252,2200518.729,176.9245296
998704.2584,2290210.068,69.96671375,991422.5186,2222573.595,112.5821088
817408.3347,3387017.247,66.55669421,823586.4006,2506379.341,251.1220728
737556.4889,2477032.376,258.3865372,929043.5562,2705840.401,162.125556
